POINTNUMBER;POINTNAME;STATIONNAME;STATIONNAMEABBREVIATED;PUNTOSINTER;NOMBRESINTER
114017;03CTE   DIST 101 CORRIENTE;LA BANDA;LBA;2,114017;03CTE   DIST 101
114018;03CTE   DIST 103 CORRIENTE;LA BANDA;LBA;2,114018;03CTE   DIST 103
114019;03CTE   DIST 104 CORRIENTE;LA BANDA;LBA;2,114019;03CTE   DIST 104
114020;13PW     L  SGE  POTENCIA ACTIVA;LA BANDA;LBA;2,11402;13PW     L  SGE 
114021;13PQ     L  SGE  POTENCIA REACTIVA;LA BANDA;LBA;2,114021;13PQ     L  SGE 
114022;13PQ     L  RHO  POTENCIA REACTIVA;LA BANDA;LBA;2,114022;13PQ     L  RHO 
114023;13TEN    B   A   TENSION;LA BANDA;LBA;2,114023;13TEN    B   A  
114024;03TEN    B   B   TENSION;LA BANDA;LBA;2,114024;03TEN    B   B  
114025;03TEN    B   A   TENSION;LA BANDA;LBA;2,114025;03TEN    B   A  
114026;01TEN     TR  02 TENSION;LA BANDA;LBA;2,114026;01TEN     TR  02
114027;01TEN     TR  01 TENSION;LA BANDA;LBA;2,114027;01TEN     TR  01
114028;01CTE    AC  A B CORRIENTE;LA BANDA;LBA;2,114028;01CTE    AC  A B
114029;03CTE    AC  A B CORRIENTE;LA BANDA;LBA;2,114029;03CTE    AC  A B
114030;13PW     L  RHO  POTENCIA ACTIVA;LA BANDA;LBA;2,11403;13PW     L  RHO 
114031;01PQ      TG  21 POTENCIA REACTIVA;LA BANDA;LBA;2,114031;01PQ      TG  21
114032;13CTE    L  SGE  CORRIENTE;LA BANDA;LBA;2,114032;13CTE    L  SGE 
114033;01CTE    ALIM 08 CORRIENTE;LA BANDA;LBA;2,114033;01CTE    ALIM 08
114034;01CTE   INTER 01 CORRIENTE;LA BANDA;LBA;2,114034;01CTE   INTER 01
114035;13PW      TR  01 POTENCIA ACTIVA;LA BANDA;LBA;2,114035;13PW      TR  01
114036;13PQ      TR  01 POTENCIA REACTIVA;LA BANDA;LBA;2,114036;13PQ      TR  01
114037;13PW      TR  02 POTENCIA ACTIVA;LA BANDA;LBA;2,114037;13PW      TR  02
114038;13PQ      TR  02 POTENCIA REACTIVA;LA BANDA;LBA;2,114038;13PQ      TR  02
114041;01PW      TR  01 POTENCIA ACTIVA;LA BANDA;LBA;2,114041;01PW      TR  01
114042;01PQ      TR  01 POTENCIA REACTIVA;LA BANDA;LBA;2,114042;01PQ      TR  01
114043;01PW      TR  02 POTENCIA ACTIVA;LA BANDA;LBA;2,114043;01PW      TR  02
114044;01PQ      TR  02 POTENCIA REACTIVA;LA BANDA;LBA;2,114044;01PQ      TR  02
114045;03CTE     TR  01 CORRIENTE;LA BANDA;LBA;2,114045;03CTE     TR  01
114046;03CTE     TR  02 CORRIENTE;LA BANDA;LBA;2,114046;03CTE     TR  02
114047;01CTE SA  TG  21 CORRIENTE;LA BANDA;LBA;2,114047;01CTE SA  TG  21
114048;01PQ       C  01 POTENCIA REACTIVA;LA BANDA;LBA;2,114048;01PQ       C  01
114049;01CTE     CP  01 CORRIENTE;LA BANDA;LBA;2,114049;01CTE     CP  01
114050;01PQ       C  02 POTENCIA REACTIVA;LA BANDA;LBA;2,11405;01PQ       C  02
114051;01CTE     CP  02 CORRIENTE;LA BANDA;LBA;2,114051;01CTE     CP  02
114052;77DEM PW      ET DEMANDA DE POTENCIA ACTIVA;LA BANDA;LBA;2,114052;77DEM PW      ET
114053;77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA;LA BANDA;LBA;2,114053;77DEM PQ      ET
114054;01PW      TG  22 POTENCIA ACTIVA;LA BANDA;LBA;2,114054;01PW      TG  22
114055;01PQ      TG  22 POTENCIA REACTIVA;LA BANDA;LBA;2,114055;01PQ      TG  22
114056;13PW     L  LBE  POTENCIA ACTIVA;LA BANDA;LBA;2,114056;13PW     L  LBE 
114057;13PQ     L  LBE  POTENCIA REACTIVA;LA BANDA;LBA;2,114057;13PQ     L  LBE 
114058;13CTE    L  LBE  CORRIENTE;LA BANDA;LBA;2,114058;13CTE    L  LBE 
114059;13TEN    L  LBE  TENSION;LA BANDA;LBA;2,114059;13TEN    L  LBE 
114065;13QFAL        ET REACTIVO FALTANTE;LA BANDA;LBA;2,114065;13QFAL        ET
114070;13CTE     TR  01 CORRIENTE;LA BANDA;LBA;2,11407;13CTE     TR  01
114071;13CTE     TR  02 CORRIENTE;LA BANDA;LBA;2,114071;13CTE     TR  02
114072;01CTE     TR  01 CORRIENTE;LA BANDA;LBA;2,114072;01CTE     TR  01
114073;01CTE     TR  02 CORRIENTE;LA BANDA;LBA;2,114073;01CTE     TR  02
114074;01TEN     B   A  TENSION;LA BANDA;LBA;2,114074;01TEN     B   A 
114075;01TEN     B   B  TENSION;LA BANDA;LBA;2,114075;01TEN     B   B 
115000;03PW      TR  01 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115;03PW      TR  01
115001;03PQ      TR  01 POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115001;03PQ      TR  01
115002;03PW      TR  02 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115002;03PW      TR  02
115003;03PQ      TR  02 POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115003;03PQ      TR  02
115004;13TEN    L  SGS  TENSION;SANTIAGO CENTRO;SCE;2,115004;13TEN    L  SGS 
115005;03TEN     TR  01 TENSION;SANTIAGO CENTRO;SCE;2,115005;03TEN     TR  01
115006;03TEN     TR  02 TENSION;SANTIAGO CENTRO;SCE;2,115006;03TEN     TR  02
115007;01TEN     TR  03 TENSION;SANTIAGO CENTRO;SCE;2,115007;01TEN     TR  03
115009;01CTE     TR  03 CORRIENTE;SANTIAGO CENTRO;SCE;2,115009;01CTE     TR  03
115010;01PW      TR  03 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,11501;01PW      TR  03
115011;01PQ      TR  03 POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115011;01PQ      TR  03
115012;13PW     L  SGE  POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115012;13PW     L  SGE 
115013;13PQ     L  SGE  POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115013;13PQ     L  SGE 
115014;01CTE     TR  01 CORRIENTE;SANTIAGO CENTRO;SCE;2,115014;01CTE     TR  01
115015;01CTE     TR  02 CORRIENTE;SANTIAGO CENTRO;SCE;2,115015;01CTE     TR  02
115016;13CTE    L  SGS  CORRIENTE;SANTIAGO CENTRO;SCE;2,115016;13CTE    L  SGS 
115017;13CTE    L  SCO  CORRIENTE;SANTIAGO CENTRO;SCE;2,115017;13CTE    L  SCO 
115018;13TEN    B   A   TENSION;SANTIAGO CENTRO;SCE;2,115018;13TEN    B   A  
115019;13PW     L  SCO  POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115019;13PW     L  SCO 
115020;13PW     L  SGS  POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,11502;13PW     L  SGS 
115021;01CTE    AC  A B CORRIENTE;SANTIAGO CENTRO;SCE;2,115021;01CTE    AC  A B
115022;13PQ     L  SCO  POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115022;13PQ     L  SCO 
115023;13PQ     L  SGS  POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115023;13PQ     L  SGS 
115024;01CTE    AC  B C CORRIENTE;SANTIAGO CENTRO;SCE;2,115024;01CTE    AC  B C
115025;01TEN     TR  02 TENSION;SANTIAGO CENTRO;SCE;2,115025;01TEN     TR  02
115026;03TEN    B   A   TENSION;SANTIAGO CENTRO;SCE;2,115026;03TEN    B   A  
115027;01CTE BCO CP  01 CORRIENTE;SANTIAGO CENTRO;SCE;2,115027;01CTE BCO CP  01
115028;13PW      TR  01 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115028;13PW      TR  01
115029;13PQ      TR  01 POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115029;13PQ      TR  01
115030;13PW      TR  02 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,11503;13PW      TR  02
115031;13PQ      TR  02 POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115031;13PQ      TR  02
115034;01PW      TR  01 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115034;01PW      TR  01
115035;01PQ      TR  01 POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115035;01PQ      TR  01
115036;01PW      TR  02 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115036;01PW      TR  02
115037;01PQ      TR  02 POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115037;01PQ      TR  02
115038;03CTE     TR  01 CORRIENTE;SANTIAGO CENTRO;SCE;2,115038;03CTE     TR  01
115039;03CTE     TR  02 CORRIENTE;SANTIAGO CENTRO;SCE;2,115039;03CTE     TR  02
115040;01CTE     ALIM 6 CORRIENTE;SANTIAGO CENTRO;SCE;2,11504;01CTE     ALIM 6
115041;01CTE    DIST 32 CORRIENTE;SANTIAGO CENTRO;SCE;2,115041;01CTE    DIST 32
115042;13TEN    L  SGE  TENSION;SANTIAGO CENTRO;SCE;2,115042;13TEN    L  SGE 
115043;01CTE   DIST  27 CORRIENTE;SANTIAGO CENTRO;SCE;2,115043;01CTE   DIST  27
115044;13TEN    L  SCO  TENSION;SANTIAGO CENTRO;SCE;2,115044;13TEN    L  SCO 
115045;13CTE    L  SGE  CORRIENTE;SANTIAGO CENTRO;SCE;2,115045;13CTE    L  SGE 
115046;01CTE   DIST  29 CORRIENTE;SANTIAGO CENTRO;SCE;2,115046;01CTE   DIST  29
115047;01CTE    RESERVA CORRIENTE;SANTIAGO CENTRO;SCE;2,115047;01CTE    RESERVA
115048;01TEN     TR  01 TENSION;SANTIAGO CENTRO;SCE;2,115048;01TEN     TR  01
115049;01CTE   RESERVA1 CORRIENTE;SANTIAGO CENTRO;SCE;2,115049;01CTE   RESERVA1
115050;01CTE   DIST 107 CORRIENTE;SANTIAGO CENTRO;SCE;2,11505;01CTE   DIST 107
115051;01CTE   DIST  30 CORRIENTE;SANTIAGO CENTRO;SCE;2,115051;01CTE   DIST  30
115052;01CTE   DIST 105 CORRIENTE;SANTIAGO CENTRO;SCE;2,115052;01CTE   DIST 105
115053;01CTE   DIST  26 CORRIENTE;SANTIAGO CENTRO;SCE;2,115053;01CTE   DIST  26
115054;01CTE   DIST  28 CORRIENTE;SANTIAGO CENTRO;SCE;2,115054;01CTE   DIST  28
115055;01CTE   DIST  31 CORRIENTE;SANTIAGO CENTRO;SCE;2,115055;01CTE   DIST  31
115056;13CTE     TR  01 CORRIENTE;SANTIAGO CENTRO;SCE;2,115056;13CTE     TR  01
115057;13CTE     TR  02 CORRIENTE;SANTIAGO CENTRO;SCE;2,115057;13CTE     TR  02
115059;77DEM PW      ET DEMANDA DE POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115059;77DEM PW      ET
115060;77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,11506;77DEM PQ      ET
115062;13QFAL        ET REACTIVO FALTANTE;SANTIAGO CENTRO;SCE;2,115062;13QFAL        ET
115063;13PW      TR  03 POTENCIA ACTIVA;SANTIAGO CENTRO;SCE;2,115063;13PW      TR  03
115064;13PQ     TR  03  POTENCIA REACTIVA;SANTIAGO CENTRO;SCE;2,115064;13PQ     TR  03 
115065;13CTE     TR  03 CORRIENTE;SANTIAGO CENTRO;SCE;2,115065;13CTE     TR  03
115066;01CTE    AC   03 CORRIENTE;SANTIAGO CENTRO;SCE;2,115066;01CTE    AC   03
115067;01CTE   SALIDA 1 CORRIENTE;SANTIAGO CENTRO;SCE;2,115067;01CTE   SALIDA 1
115068;01CTE   SALIDA 2 CORRIENTE;SANTIAGO CENTRO;SCE;2,115068;01CTE   SALIDA 2
115069;01CTE   SALIDA 3 CORRIENTE;SANTIAGO CENTRO;SCE;2,115069;01CTE   SALIDA 3
115070;01CTE   SALIDA 4 CORRIENTE;SANTIAGO CENTRO;SCE;2,11507;01CTE   SALIDA 4
115071;01CTE   SALIDA 5 CORRIENTE;SANTIAGO CENTRO;SCE;2,115071;01CTE   SALIDA 5
115072;01TEN     B   A  TENSION;SANTIAGO CENTRO;SCE;2,115072;01TEN     B   A 
115073;01TEN     B   B  TENSION;SANTIAGO CENTRO;SCE;2,115073;01TEN     B   B 
115074;01TEN     B   C  TENSION;SANTIAGO CENTRO;SCE;2,115074;01TEN     B   C 
116000;13PW     L  SCE  POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116;13PW     L  SCE 
116001;13PQ     L  SCE  POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116001;13PQ     L  SCE 
116002;13CTE    L  SCE  CORRIENTE;SANTIAGO SUR;SGS;2,116002;13CTE    L  SCE 
116003;13TEN    L  SCE  TENSION;SANTIAGO SUR;SGS;2,116003;13TEN    L  SCE 
116004;13PW     L  SAN  POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116004;13PW     L  SAN 
116005;13PQ     L  SAN  POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116005;13PQ     L  SAN 
116006;13CTE    L  SAN  CORRIENTE;SANTIAGO SUR;SGS;2,116006;13CTE    L  SAN 
116007;13TEN    L  SAN  TENSION;SANTIAGO SUR;SGS;2,116007;13TEN    L  SAN 
116008;13PW     L  LOR  POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116008;13PW     L  LOR 
116009;13PQ     L  LOR  POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116009;13PQ     L  LOR 
116010;13CTE    L  LOR  CORRIENTE;SANTIAGO SUR;SGS;2,11601;13CTE    L  LOR 
116011;13TEN    L  LOR  TENSION;SANTIAGO SUR;SGS;2,116011;13TEN    L  LOR 
116012;13PW     AC A B  POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116012;13PW     AC A B 
116013;13PQ     AC A B  POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116013;13PQ     AC A B 
116014;13CTE    AC A B  CORRIENTE;SANTIAGO SUR;SGS;2,116014;13CTE    AC A B 
116015;13PW      TR  01 POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116015;13PW      TR  01
116016;13PQ      TR  01 POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116016;13PQ      TR  01
116017;13CTE     TR  01 CORRIENTE;SANTIAGO SUR;SGS;2,116017;13CTE     TR  01
116019;13PW      TR  02 POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116019;13PW      TR  02
116020;13PQ      TR  02 POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,11602;13PQ      TR  02
116021;13CTE     TR  02 CORRIENTE;SANTIAGO SUR;SGS;2,116021;13CTE     TR  02
116023;01PW      TR  01 POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116023;01PW      TR  01
116024;01PQ      TR  01 POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116024;01PQ      TR  01
116025;01CTE     TR  01 CORRIENTE;SANTIAGO SUR;SGS;2,116025;01CTE     TR  01
116026;01TEN     TR  01 TENSION;SANTIAGO SUR;SGS;2,116026;01TEN     TR  01
116027;01PW      TR  02 POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116027;01PW      TR  02
116028;01PQ      TR  02 POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116028;01PQ      TR  02
116029;01CTE     TR  02 CORRIENTE;SANTIAGO SUR;SGS;2,116029;01CTE     TR  02
116030;01TEN     TR  02 TENSION;SANTIAGO SUR;SGS;2,11603;01TEN     TR  02
116031;01CTE     D 6036 CORRIENTE;SANTIAGO SUR;SGS;2,116031;01CTE     D 6036
116032;01CTE     D 6035 CORRIENTE;SANTIAGO SUR;SGS;2,116032;01CTE     D 6035
116033;01CTE     D 6033 CORRIENTE;SANTIAGO SUR;SGS;2,116033;01CTE     D 6033
116034;01CTE     D 6034 CORRIENTE;SANTIAGO SUR;SGS;2,116034;01CTE     D 6034
116035;01CTE     D 6037 CORRIENTE;SANTIAGO SUR;SGS;2,116035;01CTE     D 6037
116037;01CTE     D 6039 CORRIENTE;SANTIAGO SUR;SGS;2,116037;01CTE     D 6039
116038;01CTE     D 6040 CORRIENTE;SANTIAGO SUR;SGS;2,116038;01CTE     D 6040
116039;01CTE    AC A B  CORRIENTE;SANTIAGO SUR;SGS;2,116039;01CTE    AC A B 
116041;13QFAL        ET REACTIVO FALTANTE;SANTIAGO SUR;SGS;2,116041;13QFAL        ET
116042;77DEM PW      ET DEMANDA DE POTENCIA ACTIVA;SANTIAGO SUR;SGS;2,116042;77DEM PW      ET
116043;77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA;SANTIAGO SUR;SGS;2,116043;77DEM PQ      ET
116044;13TEN     B   A  TENSION;SANTIAGO SUR;SGS;2,116044;13TEN     B   A 
116045;13TEN     B   B  TENSION;SANTIAGO SUR;SGS;2,116045;13TEN     B   B 
116046;01TEN     B   A  TENSION;SANTIAGO SUR;SGS;2,116046;01TEN     B   A 
116047;01TEN     B   B  TENSION;SANTIAGO SUR;SGS;2,116047;01TEN     B   B 
116048;RESERVA 01TEN     TR  01:02 TENSION;SANTIAGO SUR;SGS;2,116048;RESERVA 01TEN   
117000;13PW     L  SCE  POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117;13PW     L  SCE 
117001;03PW      TR 1:2 POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117001;03PW      TR 1:2
117002;03PQ      TR 1:2 POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117002;03PQ      TR 1:2
117003;13PW     L  QUI  POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117003;13PW     L  QUI 
117004;13PW     L  ANA  POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117004;13PW     L  ANA 
117005;13PW      TR  02 POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117005;13PW      TR  02
117006;13PW      TR  01 POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117006;13PW      TR  01
117007;13PQ     L  SCE  POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117007;13PQ     L  SCE 
117008;13PQ     L  QUI  POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117008;13PQ     L  QUI 
117009;13PQ     L  ANA  POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117009;13PQ     L  ANA 
117010;13PQ      TR  02 POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,11701;13PQ      TR  02
117011;13QFAL        ET REACTIVO FALTANTE;SUNCHO CORRAL;SCO;2,117011;13QFAL        ET
117013;13PQ      TR  01 POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117013;13PQ      TR  01
117014;13CTE    L  SCE  CORRIENTE;SUNCHO CORRAL;SCO;2,117014;13CTE    L  SCE 
117015;13CTE    L  QUI  CORRIENTE;SUNCHO CORRAL;SCO;2,117015;13CTE    L  QUI 
117016;13CTE    L  ANA  CORRIENTE;SUNCHO CORRAL;SCO;2,117016;13CTE    L  ANA 
117017;13CTE    TR  02  CORRIENTE;SUNCHO CORRAL;SCO;2,117017;13CTE    TR  02 
117018;13CTE    TR  01  CORRIENTE;SUNCHO CORRAL;SCO;2,117018;13CTE    TR  01 
117019;13TEN    L SCE   TENSION DE LINEA;SUNCHO CORRAL;SCO;2,117019;13TEN    L SCE  
117020;13TEN    L QUI   TENSION DE LINEA;SUNCHO CORRAL;SCO;2,11702;13TEN    L QUI  
117021;13TEN    L ANA   TENSION DE LINEA;SUNCHO CORRAL;SCO;2,117021;13TEN    L ANA  
117022;03PW      TR  01 POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117022;03PW      TR  01
117023;03PW      TR  02 POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117023;03PW      TR  02
117024;03PQ      TR  01 POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117024;03PQ      TR  01
117025;03PQ      TR  02 POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117025;03PQ      TR  02
117026;03CTE     TR  01 CORRIENTE;SUNCHO CORRAL;SCO;2,117026;03CTE     TR  01
117027;03CTE     TR  02 CORRIENTE;SUNCHO CORRAL;SCO;2,117027;03CTE     TR  02
117028;03CTE    SALIDA1 CORRIENTE;SUNCHO CORRAL;SCO;2,117028;03CTE    SALIDA1
117029;03CTE    SALIDA2 CORRIENTE;SUNCHO CORRAL;SCO;2,117029;03CTE    SALIDA2
117030;03CTE    QUIMILI CORRIENTE;SUNCHO CORRAL;SCO;2,11703;03CTE    QUIMILI
117031;03CTE  FERNANDEZ CORRIENTE;SUNCHO CORRAL;SCO;2,117031;03CTE  FERNANDEZ
117032;03TEN     TR  01 TENSION DE TRAFO;SUNCHO CORRAL;SCO;2,117032;03TEN     TR  01
117033;03TEN     TR  02 TENSION DE TRAFO;SUNCHO CORRAL;SCO;2,117033;03TEN     TR  02
117034;03CTE    AC  A B CORRIENTE;SUNCHO CORRAL;SCO;2,117034;03CTE    AC  A B
117035;01PW      TR  01 POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117035;01PW      TR  01
117036;01PW      TR  02 POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117036;01PW      TR  02
117037;01PQ      TR  01 POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117037;01PQ      TR  01
117038;01PQ      TR  02 POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117038;01PQ      TR  02
117039;01CTE     TR  01 CORRIENTE DE TRAFO;SUNCHO CORRAL;SCO;2,117039;01CTE     TR  01
117040;01CTE     TR  02 CORRIENTE DE TRAFO;SUNCHO CORRAL;SCO;2,11704;01CTE     TR  02
117041;01CTE   SALIDA 1 CORRIENTE;SUNCHO CORRAL;SCO;2,117041;01CTE   SALIDA 1
117042;01CTE   SALIDA 2 CORRIENTE;SUNCHO CORRAL;SCO;2,117042;01CTE   SALIDA 2
117043;01CTE  SUNCHO ES CORRIENTE;SUNCHO CORRAL;SCO;2,117043;01CTE  SUNCHO ES
117044;01CTE  SUNCHO OE CORRIENTE;SUNCHO CORRAL;SCO;2,117044;01CTE  SUNCHO OE
117045;01CTE     MATARA CORRIENTE;SUNCHO CORRAL;SCO;2,117045;01CTE     MATARA
117046;01CTE BAN BAJADA CORRIENTE;SUNCHO CORRAL;SCO;2,117046;01CTE BAN BAJADA
117047;01TEN     TR  01 TENSION;SUNCHO CORRAL;SCO;2,117047;01TEN     TR  01
117048;01TEN     TR  02 TENSION;SUNCHO CORRAL;SCO;2,117048;01TEN     TR  02
117049;01CTE    AC  A B CORRIENTE;SUNCHO CORRAL;SCO;2,117049;01CTE    AC  A B
117052;77DEM PW      ET DEMANDA DE POTENCIA ACTIVA;SUNCHO CORRAL;SCO;2,117052;77DEM PW      ET
117053;77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA;SUNCHO CORRAL;SCO;2,117053;77DEM PQ      ET
118000;13PW     L  CPO  POTENCIA ACTIVA;AVELLANEDA;AVE;2,118;13PW     L  CPO 
118001;13PQ     L  CPO  POTENCIA REACTIVA;AVELLANEDA;AVE;2,118001;13PQ     L  CPO 
118002;13CTE    L  CPO  CORRIENTE;AVELLANEDA;AVE;2,118002;13CTE    L  CPO 
118003;13PW      TR  01 POTENCIA ACTIVA;AVELLANEDA;AVE;2,118003;13PW      TR  01
118004;13PQ      TR  01 POTENCIA REACTIVA;AVELLANEDA;AVE;2,118004;13PQ      TR  01
118005;13CTE     TR  01 CORRIENTE;AVELLANEDA;AVE;2,118005;13CTE     TR  01
118006;13PW      TR  02 POTENCIA ACTIVA;AVELLANEDA;AVE;2,118006;13PW      TR  02
118007;13PQ      TR  02 POTENCIA REACTIVA;AVELLANEDA;AVE;2,118007;13PQ      TR  02
118008;13CTE     TR  02 CORRIENTE;AVELLANEDA;AVE;2,118008;13CTE     TR  02
118011;13TEN    L  CPO  TENSION;AVELLANEDA;AVE;2,118011;13TEN    L  CPO 
118012;01TEN     TR  01 TENSION;AVELLANEDA;AVE;2,118012;01TEN     TR  01
118013;01TEN     TR  02 TENSION;AVELLANEDA;AVE;2,118013;01TEN     TR  02
118014;01PW      TR  01 POTENCIA ACTIVA;AVELLANEDA;AVE;2,118014;01PW      TR  01
118015;01PQ      TR  01 POTENCIA REACTIVA;AVELLANEDA;AVE;2,118015;01PQ      TR  01
118016;01CTE     TR  01 CORRIENTE;AVELLANEDA;AVE;2,118016;01CTE     TR  01
118017;01PW      TR  02 POTENCIA ACTIVA;AVELLANEDA;AVE;2,118017;01PW      TR  02
118018;01PQ      TR  02 POTENCIA REACTIVA;AVELLANEDA;AVE;2,118018;01PQ      TR  02
118019;01CTE     TR  02 CORRIENTE;AVELLANEDA;AVE;2,118019;01CTE     TR  02
118020;01CTE   SAN JUAN CORRIENTE;AVELLANEDA;AVE;2,11802;01CTE   SAN JUAN
118021;01CTE CORRIENTES CORRIENTE;AVELLANEDA;AVE;2,118021;01CTE CORRIENTES
118022;01CTE      CRUSH CORRIENTE;AVELLANEDA;AVE;2,118022;01CTE      CRUSH
118023;01CTE   EL SIGLO CORRIENTE;AVELLANEDA;AVE;2,118023;01CTE   EL SIGLO
118024;01CTE   SANTA FE CORRIENTE;AVELLANEDA;AVE;2,118024;01CTE   SANTA FE
118025;01CTE   CATEDRAL CORRIENTE;AVELLANEDA;AVE;2,118025;01CTE   CATEDRAL
118026;01CTE   AVELLAN3 CORRIENTE;AVELLANEDA;AVE;2,118026;01CTE   AVELLAN3
118027;01CTE   AVELLAN2 CORRIENTE;AVELLANEDA;AVE;2,118027;01CTE   AVELLAN2
118028;01CTE   AVELLAN1 CORRIENTE;AVELLANEDA;AVE;2,118028;01CTE   AVELLAN1
118029;01CTE   AYACUCHO CORRIENTE;AVELLANEDA;AVE;2,118029;01CTE   AYACUCHO
118030;01CTE   AVELLAN4 CORRIENTE;AVELLANEDA;AVE;2,11803;01CTE   AVELLAN4
118031;01CTE    FRANCIA CORRIENTE;AVELLANEDA;AVE;2,118031;01CTE    FRANCIA
118032;01CTE     O.S.T. CORRIENTE;AVELLANEDA;AVE;2,118032;01CTE     O.S.T.
118033;01CTE       ADOS CORRIENTE;AVELLANEDA;AVE;2,118033;01CTE       ADOS
118034;01CTE   BLACARCE CORRIENTE;AVELLANEDA;AVE;2,118034;01CTE   BLACARCE
118035;01CTE S.CAYETANO CORRIENTE;AVELLANEDA;AVE;2,118035;01CTE S.CAYETANO
118036;01CTE  BDA NORTE CORRIENTE;AVELLANEDA;AVE;2,118036;01CTE  BDA NORTE
118037;01CTE     GRECIA CORRIENTE;AVELLANEDA;AVE;2,118037;01CTE     GRECIA
118038;77DEM PW      ET DEMANDA DE POTENCIA ACTIVA;AVELLANEDA;AVE;2,118038;77DEM PW      ET
118039;77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA;AVELLANEDA;AVE;2,118039;77DEM PQ      ET
118040;01CTE    FRANCES CORRIENTE;AVELLANEDA;AVE;2,11804;01CTE    FRANCES
118042;13QFAL        ET REACTIVO FALTANTE;AVELLANEDA;AVE;2,118042;13QFAL        ET
118043;01CTE  SOLDATTI  CORRIENTE;AVELLANEDA;AVE;2,118043;01CTE  SOLDATTI 
118044;13TEN   B   A    TENSION;AVELLANEDA;AVE;2,118044;13TEN   B   A   
118045;01TEN   B   A    TENSION;AVELLANEDA;AVE;2,118045;01TEN   B   A   
118046;01TEN   B   B    TENSION;AVELLANEDA;AVE;2,118046;01TEN   B   B   
119000;13PW     L  AVE  POTENCIA ACTIVA;CEVIL POZO;CPO;2,119;13PW     L  AVE 
119001;13PQ     L  AVE  POTENCIA REACTIVA;CEVIL POZO;CPO;2,119001;13PQ     L  AVE 
