POINTNUMBER;POINTNAME;STATIONNAME;STATIONNAMEABBREVIATED;PUNTOSINTER;NOMBRESINTER
60076;13PW  TR TG2;C.PLUSPETROL N.;PPN;2,60076;13PW  TR TG2
60077;13PQ  TR TG2;C.PLUSPETROL N.;PPN;2,60077;13PQ  TR TG2
60078;13TEN TR TG2;C.PLUSPETROL N.;PPN;2,60078;13TEN TR TG2
60079;01PW  TG  02;C.PLUSPETROL N.;PPN;2,60079;01PW  TG  02
60080;01PQ  TG  02;C.PLUSPETROL N.;PPN;2,6008;01PQ  TG  02
60081;13RBC TR TG1;C.PLUSPETROL N.;PPN;2,60081;13RBC TR TG1
60082;13PW  TR TG1;C.PLUSPETROL N.;PPN;2,60082;13PW  TR TG1
60083;13PQ  TR TG1;C.PLUSPETROL N.;PPN;2,60083;13PQ  TR TG1
60084;13TEN TR TG1;C.PLUSPETROL N.;PPN;2,60084;13TEN TR TG1
60085;01PW  TG  03;C.PLUSPETROL N.;PPN;2,60085;01PW  TG  03
60086;01PQ  TG3;C.PLUSPETROL N.;PPN;2,60086;01PQ  TG3
60087;01PW  TR 001;GENERADORES;GEN;2,60087;01PW  TR 001
60088;01PQ  TR 001;GENERADORES;GEN;2,60088;01PQ  TR 001
60089;01PW  TG 021;GENERADORES;GEN;2,60089;01PW  TG 021
60090;01PQ  TG 021;GENERADORES;GEN;2,6009;01PQ  TG 021
60091;GUE PW TOTAL;GENERADORES;GEN;2,60091;GUE PW TOTAL
60092;GUE PQ TOTAL;GENERADORES;GEN;2,60092;GUE PQ TOTAL
60093;13NBC TR 002 (1);GENERADORES;GEN;2,60093;13NBC TR 002 (1)
60094;13NBC TR 003 (1);GENERADORES;GEN;2,60094;13NBC TR 003 (1)
60095;50NBC TR 004;GENERADORES;GEN;2,60095;50NBC TR 004
60096;13NBC TR 001;GENERADORES;GEN;2,60096;13NBC TR 001
60097;13NBC TR 002 (2);GENERADORES;GEN;2,60097;13NBC TR 002 (2)
60098;13NBC TR 003 (2);GENERADORES;GEN;2,60098;13NBC TR 003 (2)
60099;50NBC TR 001;GENERADORES;GEN;2,60099;50NBC TR 001
60100;50NBC TR 002;GENERADORES;GEN;2,601;50NBC TR 002
60104;GUE 13PW TR 001;GENERADORES;GEN;2,60104;GUE 13PW TR 001
60105;GUE 13PQ TR 001;GENERADORES;GEN;2,60105;GUE 13PQ TR 001
60106;GUE 01PW TG 021;GENERADORES;GEN;2,60106;GUE 01PW TG 021
60107;GUE 01PQ TG 021;GENERADORES;GEN;2,60107;GUE 01PQ TG 021
60108;BRA AFE RBC SA2;GENERADORES;GEN;2,60108;BRA AFE RBC SA2
60109;BRA AFE 13TEN A2;GENERADORES;GEN;2,60109;BRA AFE 13TEN A2
60110;BRA AFE 01PW G2;GENERADORES;GEN;2,6011;BRA AFE 01PW G2
60111;BRA AFE 01PQ G2;GENERADORES;GEN;2,60111;BRA AFE 01PQ G2
60112;BRA AFE RBC SA3;GENERADORES;GEN;2,60112;BRA AFE RBC SA3
60113;BRA AFE 13TEN A3;GENERADORES;GEN;2,60113;BRA AFE 13TEN A3
60114;BRA AFE 01PW G3;GENERADORES;GEN;2,60114;BRA AFE 01PW G3
60115;BRA AFE 01PQ G3;GENERADORES;GEN;2,60115;BRA AFE 01PQ G3
60201;5NODO 5 V;COBOS;COB;2,60201;5NODO 5 V
60202;5NODO 6 V;COBOS;COB;2,60202;5NODO 6 V
60203;5BRCB1  I;COBOS;COB;2,60203;5BRCB1  I
60204;5BRCB1  P;COBOS;COB;2,60204;5BRCB1  P
60205;5BRCB1  Q;COBOS;COB;2,60205;5BRCB1  Q
60206;5NODO 8 V;COBOS;COB;2,60206;5NODO 8 V
60207;5T1CB   I;COBOS;COB;2,60207;5T1CB   I
60208;5T1CB   P;COBOS;COB;2,60208;5T1CB   P
60209;5T1CB   Q;COBOS;COB;2,60209;5T1CB   Q
60210;4T1CB   I;COBOS;COB;2,6021;4T1CB   I
60211;4T1CB   V;COBOS;COB;2,60211;4T1CB   V
60212;4T1CB   P;COBOS;COB;2,60212;4T1CB   P
60213;4T1CB   Q;COBOS;COB;2,60213;4T1CB   Q
60214;5T1CB   RBC;COBOS;COB;2,60214;5T1CB   RBC
60215;5NODO 3 V;COBOS;COB;2,60215;5NODO 3 V
60216;5NODO 4 V;COBOS;COB;2,60216;5NODO 4 V
60217;5CBMQ1  I;COBOS;COB;2,60217;5CBMQ1  I
60218;5CBMQ1  P;COBOS;COB;2,60218;5CBMQ1  P
60219;5CBMQ1  Q;COBOS;COB;2,60219;5CBMQ1  Q
60220;5NODO 7 V;COBOS;COB;2,6022;5NODO 7 V
60221;5CBSO1  I;COBOS;COB;2,60221;5CBSO1  I
60222;5CBSO1  P;COBOS;COB;2,60222;5CBSO1  P
60223;5CBSO1  Q;COBOS;COB;2,60223;5CBSO1  Q
60224;5CBSO1  V;COBOS;COB;2,60224;5CBSO1  V
60225;5CBSO1  I B;COBOS;COB;2,60225;5CBSO1  I B
60226;5CBSO1  P B;COBOS;COB;2,60226;5CBSO1  P B
60227;5CBSO1  Q B;COBOS;COB;2,60227;5CBSO1  Q B
60228;5T1SO   V;SAN JUANCITO;SJU;2,60228;5T1SO   V
60229;5T1SO   I;SAN JUANCITO;SJU;2,60229;5T1SO   I
60230;5T1SO   P;SAN JUANCITO;SJU;2,6023;5T1SO   P
60231;5T1SO   Q;SAN JUANCITO;SJU;2,60231;5T1SO   Q
60232;5T1SO   RBC;SAN JUANCITO;SJU;2,60232;5T1SO   RBC
60233;1T1SO   I;SAN JUANCITO;SJU;2,60233;1T1SO   I
60234;1T1SO   V;SAN JUANCITO;SJU;2,60234;1T1SO   V
60235;1T1SO   P;SAN JUANCITO;SJU;2,60235;1T1SO   P
60236;1T1SO   Q;SAN JUANCITO;SJU;2,60236;1T1SO   Q
60237;1A A B  I;SAN JUANCITO;SJU;2,60237;1A A B  I
60238;1AL10  I;SAN JUANCITO;SJU;2,60238;1AL10  I
60239;1AL10  P;SAN JUANCITO;SJU;2,60239;1AL10  P
60240;1AL10  Q;SAN JUANCITO;SJU;2,6024;1AL10  Q
60241;1AL10  V;SAN JUANCITO;SJU;2,60241;1AL10  V
60242;1CPO03 I;GENERADORES;GEN;2,60242;1CPO03 I
60243;1CPO03 V;GENERADORES;GEN;2,60243;1CPO03 V
60244;1CPO03 P;GENERADORES;GEN;2,60244;1CPO03 P
60245;1CPO03 Q;GENERADORES;GEN;2,60245;1CPO03 Q
60246;345_TRFTV10_P;TERMO ANDES;TAN;2,60246;345_TRFTV10_P
60247;345_TRFTV10_Q;TERMO ANDES;TAN;2,60247;345_TRFTV10_Q
60248;345_TRFTV10_V;TERMO ANDES;TAN;2,60248;345_TRFTV10_V
60249;345_TRFTG11_P;TERMO ANDES;TAN;2,60249;345_TRFTG11_P
60250;345_TRFTG11_Q;TERMO ANDES;TAN;2,6025;345_TRFTG11_Q
60251;345_TRFTG11_V;TERMO ANDES;TAN;2,60251;345_TRFTG11_V
60252;345_TRFTG12_P;TERMO ANDES;TAN;2,60252;345_TRFTG12_P
