VERDADERO;VERDADERO;60046;13PW  TR TV1;60046;13PW  TR TV1;60046;13PW  TR TV1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60047;13PQ  TR TV1;60047;13PQ  TR TV1;60047;13PQ  TR TV1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60048;13CTE AC 1:2;60048;13CTE AC 1:2;60048;13CTE AC 1:2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60049;13PW  TR  01;60049;13PW  TR  01;60049;13PW  TR  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60050;13PQ  TR  01;60050;13PQ  TR  01;60050;13PQ  TR  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60051;01PW  TG  01;60051;01PW  TG  01;60051;01PW  TG  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60052;01PQ  TG  01;60052;01PQ  TG  01;60052;01PQ  TG  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60053;50CTE TR TG2;60053;50CTE TR TG2;60053;50CTE TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60054;50TEN TR TG2;60054;50TEN TR TG2;60054;50TEN TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60055;50PW  TR TG2;60055;50PW  TR TG2;60055;50PW  TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60056;50PQ  TR TG2;60056;50PQ  TR TG2;60056;50PQ  TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60057;50CTE TR TV1;60057;50CTE TR TV1;60057;50CTE TR TV1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60058;50TEN TR TV1;60058;50TEN TR TV1;60058;50TEN TR TV1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60059;50PW  TR TV1;60059;50PW  TR TV1;60059;50PW  TR TV1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60060;50PQ  TR TV1;60060;50PQ  TR TV1;60060;50PQ  TR TV1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60061;01PW  TG  02;60061;01PW  TG  02;60061;01PW  TG  02;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60062;01PQ  TG  02;60062;01PQ  TG  02;60062;01PQ  TG  02;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60063;01TEN TG  02;60063;01TEN TG  02;60063;01TEN TG  02;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60064;01FRE TG  02;60064;01FRE TG  02;60064;01FRE TG  02;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60065;01RBC TG  02;60065;01RBC TG  02;60065;01RBC TG  02;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60066;01PW  TV  01;60066;01PW  TV  01;60066;01PW  TV  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60067;01PQ  TV  01;60067;01PQ  TV  01;60067;01PQ  TV  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60068;01TEN TV  01;60068;01TEN TV  01;60068;01TEN TV  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60069;01FRE TV  01;60069;01FRE TV  01;60069;01FRE TV  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60070;01RBC TV  01;60070;01RBC TV  01;60070;01RBC TV  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60071;01PW  TG  01;60071;01PW  TG  01;60071;01PW  TG  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60072;01PQ  TG  01;60072;01PQ  TG  01;60072;01PQ  TG  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60073;13PW  SA  01;60073;13PW  SA  01;60073;13PW  SA  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60074;13PQ  SA  01;60074;13PQ  SA  01;60074;13PQ  SA  01;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60075;13RBC TR TG2;60075;13RBC TR TG2;60075;13RBC TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60076;13PW  TR TG2;60076;13PW  TR TG2;60076;13PW  TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60077;13PQ  TR TG2;60077;13PQ  TR TG2;60077;13PQ  TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60078;13TEN TR TG2;60078;13TEN TR TG2;60078;13TEN TR TG2;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60079;01PW  TG  02;60079;01PW  TG  02;60079;01PW  TG  02;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60080;01PQ  TG  02;60080;01PQ  TG  02;60080;01PQ  TG  02;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60081;13RBC TR TG1;60081;13RBC TR TG1;60081;13RBC TR TG1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60082;13PW  TR TG1;60082;13PW  TR TG1;60082;13PW  TR TG1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60083;13PQ  TR TG1;60083;13PQ  TR TG1;60083;13PQ  TR TG1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60084;13TEN TR TG1;60084;13TEN TR TG1;60084;13TEN TR TG1;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60085;01PW  TG  03;60085;01PW  TG  03;60085;01PW  TG  03;VERDADERO;VERDADERO
VERDADERO;VERDADERO;60086;01PQ  TG3;60086;01PQ  TG3;60086;01PQ  TG3;VERDADERO;VERDADERO
