60052,"01PQ_TG_01","13,2","Generación","Q","G","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60053,"50CTE_TR_TG2",500,"Transformador","Corriente",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60054,"50TEN_TR_TG2",500,"Transformador","Tensión",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60055,"50PW_TR_TG2",500,"Transformador","PG","T","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60056,"50PQ_TR_TG2",500,"Transformador","Q","T","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60057,"50CTE_TR_TV1",500,"Transformador","Corriente",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60058,"50TEN_TR_TV1",500,"Transformador","Tensión",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60059,"50PW_TR_TV1",500,"Transformador","PG","T","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60060,"50PQ_TR_TV1",500,"Transformador","Q","T","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60061,"01PW_TG_02","13,2","Generación","PG","G","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60062,"01PQ_TG_02","13,2","Generación","Q","G","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60063,"01TEN_TG_02","13,2","Generación","Tensión",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60064,"01FRE_TG_02","13,2","Generación","Frecuencia",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60065,"01RBC_TG_02","13,2","Generación","Punto de RBC",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60066,"01PW_TV_01","13,2","Generación","PG","G","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60067,"01PQ_TV_01","13,2","Generación","Q","G","SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60068,"01TEN_TV_01","13,2","Generación","Tensión",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60069,"01FRE_TV_01","13,2","Generación","Frecuencia",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60070,"01RBC_TV_01","13,2","Generación","Punto de RBC",,"SMT","C.SAN MIGUEL","TUCUMAN","CENTRO",
60071,"01PW_TG_01","13,2","Generación","PG","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60072,"01PQ_TG_01","13,2","Generación","Q","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
60073,"13PW_SA_01",132,"Generación","PG","G","PPN","C.PLUSPETROL N.","TUCUMAN","CENTRO",
