"POINTNUMBER","POINTNAME","STATIONNAMEABBREVIATED"
105064,"01PQ      TR  03 POTENCIA REACTIVA","EST"
105066,"01TEN     TR  03 TENSION","EST"
105067,"01CTE  INDEPEN 2 CORRIENTE","EST"
105068,"01CTE LIBERTAD 2 CORRIENTE","EST"
105069,"13PW     L  IND2 POTENCIA ACTIVA","EST"
105070,"13PQ     L  IND2 POTENCIA REACTIVA","EST"
105071,"13CTE    L  IND2 CORRIENTE","EST"
105072,"13TEN    L  IND2 TENSION","EST"
105073,"01CTE   SALIDA 3 CORRIENTE","EST"
105074,"01CTE   SALIDA 4 CORRIENTE","EST"
105075,"01CTE   SALIDA 5 CORRIENTE","EST"
106000,"13PW     L1 BRA  POTENCIA ACTIVA","IND"
106001,"13PQ     L1 BRA  POTENCIA REACTIVA","IND"
106002,"13CTE    L1 BRA  CORRIENTE","IND"
106003,"13PW     L  ABL  POTENCIA ACTIVA","IND"
106004,"13PQ     L  ABL  POTENCIA REACTIVA","IND"
106005,"13CTE    L  ABL  CORRIENTE","IND"
106006,"13PW     L  PTU  POTENCIA ACTIVA","IND"
106007,"13PQ     L  PTU  POTENCIA REACTIVA","IND"
106008,"13CTE    L  PTU  CORRIENTE","IND"
106009,"13PW    OF  EST1 POTENCIA ACTIVA","IND"
106010,"13PQ    OF  EST1 POTENCIA REACTIVA","IND"
106011,"13CTE   OF  EST1 CORRIENTE","IND"
106012,"13TEN    B   A   TENSION","IND"
106013,"01CTE     TR  01 CORRIENTE","IND"
106014,"03TEN     TR  01 TENSION","IND"
106015,"03TEN     TR  02 TENSION","IND"
106016,"13PW      TR  01 POTENCIA ACTIVA","IND"
106017,"13PQ      TR  01 POTENCIA REACTIVA","IND"
106018,"01PW      TR  01 POTENCIA ACTIVA","IND"
106019,"03PW      TR  01 POTENCIA ACTIVA","IND"
106020,"03PQ      TR  01 POTENCIA REACTIVA","IND"
106021,"03CTE     TR  01 CORRIENTE","IND"
106023,"13PW      TR  02 POTENCIA ACTIVA","IND"
106024,"13PQ      TR  02 POTENCIA REACTIVA","IND"
106025,"01PQ      TR  01 POTENCIA REACTIVA","IND"
106026,"03PW      TR  02 POTENCIA ACTIVA","IND"
106027,"03PQ      TR  02 POTENCIA REACTIVA","IND"
106028,"03CTE     TR  02 CORRIENTE","IND"
106030,"13PW      TR  03 POTENCIA ACTIVA","IND"
106031,"13PQ      TR  03 POTENCIA REACTIVA","IND"
106032,"13CTE    L2 BRA  CORRIENTE","IND"
106033,"01PW      TR  03 POTENCIA ACTIVA","IND"
106034,"01PQ      TR  03 POTENCIA REACTIVA","IND"
106035,"01CTE     TR  03 CORRIENTE","IND"
106037,"03CTE L. FRESNOS CORRIENTE","IND"
106038,"03CTE  MERCOFRUT CORRIENTE","IND"
106039,"03CTE     LEALES CORRIENTE","IND"
106040,"03CTE A.BLANCA 2 CORRIENTE","IND"
106041,"03CTE  L.BULACIO CORRIENTE","IND"
106042,"03CTE A.BLANCA 1 CORRIENTE","IND"
106043,"03CTE      LULES CORRIENTE","IND"
106044,"01CTE  L.VASQUEZ CORRIENTE","IND"
106045,"01CTE  CANAL SUR CORRIENTE","IND"
106046,"01CTE  MANANTIAL CORRIENTE","IND"
106047,"01CTE    B.VISTA CORRIENTE","IND"
106048,"01CTE      JUJUY CORRIENTE","IND"
106049,"01PW      TG  21 POTENCIA ACTIVA","IND"
106050,"01PQ      TG  21 POTENCIA REACTIVA","IND"
106051,"13PW     L2 BRA  POTENCIA ACTIVA","IND"
106052,"13PQ     L2 BRA  POTENCIA REACTIVA","IND"
106053,"01TEN     TR  03 TENSION","IND"
106054,"01TEN     TR  01 TENSION","IND"
106055,"01CTE  CHANARITO CORRIENTE","IND"
106056,"01CTE     B.DIZA CORRIENTE","IND"
106058,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","IND"
106059,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","IND"
106060,"01GEN PW    CTI1 POTENCIA ACTIVA TOTAL","IND"
106061,"01GEN PQ    CTI1 POTENCIA REACTIVA TOTAL","IND"
106062,"13QFAL        ET REACTIVO FALTANTE","IND"
106063,"13QFAL      PTU  REACTIVO FALTANTE","IND"
106065,"13CTE     TR  01 CORRIENTE","IND"
106066,"13CTE     TR  02 CORRIENTE","IND"
106067,"13CTE     TR  03 CORRIENTE","IND"
106068,"01GEN PW    CTI2 POTENCIA ACTIVA TOTAL","IND2"
106069,"01GEN PQ    CTI2 POTENCIA REACTIVA TOTAL","IND2"
106087,"01TEN   B   A    TENSION","IND"
106088,"01TEN   B   B    TENSION","IND"
106089,"03TEN   B   A    TENSION","IND"
106090,"03TEN   B   B    TENSION","IND"
106091,"13TEN   B   B    TENSION","IND"
106092,"01CTE PELLEGRINI CORRIENTE","IND"
106093,"13PW      TR  04 POTENCIA ACTIVA CTI1","IND"
106094,"13PQ      TR  04 POTENCIA REACTIVA CTI1","IND"
106095,"13PW      TR  05 POTENCIA ACTIVA CTI1","IND"
106096,"13PQ      TR  05 POTENCIA REACTIVA CTI1","IND"
106097,"01PW      TG  01 POTENCIA ACTIVA","IND"
106098,"01PQ      TG  01 POTENCIA REACTIVA","IND"
106099,"01TEN     TG  01 TENSION","IND"
106100,"01PW      TG  02 POTENCIA ACTIVA","IND"
106101,"01PQ      TG  02 POTENCIA REACTIVA","IND"
106102,"01TEN     TG  02 TENSION","IND"
106103,"01CTE     S.A.T. CORRIENTE","IND"
106104,"13TEN    L2 BRA  TENSION","IND"
106105,"13PW     CS EST2 POTENCIA ACTIVA","IND"
106106,"13PQ     CS EST2 POTENCIA REACTIVA","IND"
106107,"13CTE    CS EST2 CORRIENTE","IND"
106108,"13TEN    CS EST2 TENSION","IND"
106109,"13PW      TR  03 POTENCIA ACTIVA CTI2","IND2"
106110,"13PQ      TR  03 POTENCIA REACTIVA CTI2","IND2"
106111,"13PW      TR  04 POTENCIA ACTIVA CTI2","IND2"
106112,"13PQ      TR  04 POTENCIA REACTIVA CTI2","IND2"
106113,"01PW      TG  03 POTENCIA ACTIVA","IND2"
106114,"01PQ      TG  03 POTENCIA REACTIVA","IND2"
106115,"01TEN     TG  03 TENSION","IND2"
106116,"01PW      TG  04 POTENCIA ACTIVA","IND2"
106117,"01PQ      TG  04 POTENCIA REACTIVA","IND2"
106118,"01TEN     TG  04 TENSION","IND2"
107000,"01PW     GRAFA 2 POTENCIA ACTIVA","ABL"
107001,"01PQ     GRAFA 2 POTENCIA REACTIVA","ABL"
107002,"01PQ     GRAFA 1 POTENCIA REACTIVA","ABL"
107003,"01TEN     TR  02 TENSION","ABL"
107004,"03CTE  INDEPEN 1 CORRIENTE","ABL"
107005,"03CTE  INDEPEN 2 CORRIENTE","ABL"
107006,"01CTE      LULES CORRIENTE","ABL"
107007,"01PW     GRAFA 1 POTENCIA ACTIVA","ABL"
107008,"01CTE   FAMAILLA CORRIENTE","ABL"
107009,"03TEN     TR  02 TENSION","ABL"
107010,"01CTE    ACHERAL CORRIENTE","ABL"
107011,"13CTE    L  VQU  CORRIENTE","ABL"
107012,"13CTE    L  IND  CORRIENTE","ABL"
107013,"13PW     L  VQU  POTENCIA ACTIVA","ABL"
107014,"13PW     L  IND  POTENCIA ACTIVA","ABL"
107015,"13PQ     L  VQU  POTENCIA REACTIVA","ABL"
107016,"13PQ     L  IND  POTENCIA REACTIVA","ABL"
107017,"13TEN    B   A   TENSION","ABL"
107018,"01TEN    B   A   TENSION","ABL"
107019,"03TEN     TR  01 TENSION","ABL"
107020,"13PW      TR  01 POTENCIA ACTIVA","ABL"
107021,"13PQ      TR  01 POTENCIA REACTIVA","ABL"
107022,"13PW      TR  02 POTENCIA ACTIVA","ABL"
107023,"13PQ      TR  02 POTENCIA REACTIVA","ABL"
107026,"03CTE     TR  01 CORRIENTE","ABL"
107027,"03CTE     TR  02 CORRIENTE","ABL"
107028,"01PW      TR  01 POTENCIA ACTIVA","ABL"
107029,"01PQ      TR  01 POTENCIA REACTIVA","ABL"
107030,"01PW      TR  02 POTENCIA ACTIVA","ABL"
107031,"01PQ      TR  02 POTENCIA REACTIVA","ABL"
107032,"01CTE    GRAFA 2 CORRIENTE","ABL"
107033,"01CTE    GRAFA 1 CORRIENTE","ABL"
107034,"03PW      TR  01 POTENCIA ACTIVA","ABL"
107035,"03PQ      TR  01 POTENCIA REACTIVA","ABL"
107036,"03PW      TR  02 POTENCIA ACTIVA","ABL"
107037,"03PQ      TR  02 POTENCIA REACTIVA","ABL"
107038,"01CTE FRONTERITA CORRIENTE","ABL"
107039,"03CTE       INTA CORRIENTE","ABL"
107040,"03CTE    QUILMES CORRIENTE","ABL"
107041,"03CTE  AUTOPISTA CORRIENTE","ABL"
107042,"13CTE     TR  01 CORRIENTE","ABL"
107043,"13CTE     TR  02 CORRIENTE","ABL"
107045,"01CTE     TR  01 CORRIENTE","ABL"
107046,"01CTE     TR  02 CORRIENTE","ABL"
107047,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","ABL"
107048,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","ABL"
107049,"01DEM PW   GRAFA DEMANDA DE POTENCIA ACTIVA","ABL"
107050,"01DEM PQ   GRAFA DEMANDA DE POTENCIA ACTIVA","ABL"
107052,"13QFAL     GRAFA REACTIVO FALTANTE","ABL"
107053,"77DEM PW    EDET DEMANDA DE POTENCIA ACTIVA","ABL"
107054,"77DEM PQ    EDET DEMANDA DE POTENCIA REACTIVA","ABL"
107055,"13QFAL      EDET REACTIVO FALTANTE","ABL"
107060,"13DEM PW      ET DEMANDA DE POTENCIA ACTIVA","ABL"
107061,"13DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","ABL"
107063,"03TEN   B   A   TENSION","ABL"
107064,"03TEN   B   B   TENSION","ABL"
107065,"01TEN   B   A   TENSION","ABL"
108000,"50TEN    B   A   TENSION","BRA"
108001,"50PW     L  LAV  POTENCIA ACTIVA","BRA"
108002,"50PQ     L  LAV  POTENCIA REACTIVA","BRA"
108003,"13TEN     TR  02 TENSION","BRA"
108004,"13TEN     TR  01 TENSION","BRA"
108005,"13PW     L  LBE  POTENCIA ACTIVA","BRA"
108006,"13CTE    L1 CPO  CORRIENTE","BRA"
108007,"13PW     L1 CPO  POTENCIA ACTIVA","BRA"
108008,"13PQ     L1 CPO  POTENCIA REACTIVA","BRA"
108009,"13PW     L2 CPO  POTENCIA ACTIVA","BRA"
108010,"13PQ     L2 CPO  POTENCIA REACTIVA","BRA"
108011,"13PW     L2 IND  POTENCIA ACTIVA","BRA"
108012,"13PQ     L2 IND  POTENCIA REACTIVA","BRA"
108013,"13PW     L1 IND  POTENCIA ACTIVA","BRA"
108014,"13PQ     L1 IND  POTENCIA REACTIVA","BRA"
108015,"13CTE    L2 CPO  CORRIENTE","BRA"
108016,"13PW     L  TNO  POTENCIA ACTIVA","BRA"
108017,"13PQ     L  TNO  POTENCIA REACTIVA","BRA"
108018,"13CTE    L  TNO  CORRIENTE","BRA"
108019,"13CTE    L2 IND  CORRIENTE","BRA"
108020,"13CTE    L1 IND  CORRIENTE","BRA"
108021,"50CTE    L  LAV  CORRIENTE","BRA"
108022,"13PW      TR  01 POTENCIA ACTIVA","BRA"
108023,"13PQ      TR  01 POTENCIA REACTIVA","BRA"
108024,"13PW      TR  02 POTENCIA ACTIVA","BRA"
108025,"13PQ      TR  02 POTENCIA REACTIVA","BRA"
108026,"13PW      AC  01 POTENCIA ACTIVA","BRA"
108027,"13PQ      AC  01 POTENCIA REACTIVA","BRA"
108028,"13CTE     AC  01 CORRIENTE","BRA"
108029,"03TEN     RN  01 TENSION","BRA"
108030,"03TEN     RN  02 TENSION","BRA"
108031,"13PW     L  ALU  POTENCIA ACTIVA","BRA"
108032,"13PQ     L  ALU  POTENCIA REACTIVA","BRA"
108033,"13CTE    L  LBE  CORRIENTE","BRA"
108034,"13PQ     L  LBE  POTENCIA REACTIVA","BRA"
108039,"50CTE CORRIENTE FASE R TV 01","BRA"
108040,"13NBC TR CT2","BRA"
108041,"13NBC TR CT3","BRA"
108043,"SMT PW TOTAL","BRA"
108044,"SMT PQ TOTAL","BRA"
108045,"CTT PW TOTAL","BRA"
108046,"CTT PQ TOTAL","BRA"
108047,"AFE PW TOTAL","BRA"
108048,"AFE PQ TOTAL","BRA"
108057,"50CTE    L  COB  CORRIENTE FASE R","BRA"
108058,"50TEN    L  COB  TENSION FASE R","BRA"
108059,"50PW     L  COB  POTENCIA ACTIVA","BRA"
108060,"50PQ     L  COB  POTENCIA REACTIVA","BRA"
108061,"13PW     L  LEA  POTENCIA ACTIVA","BRA"
108062,"13PQ     L  LEA  POTENCIA REACTIVA","BRA"
108063,"13TEN    L  LEA  TENSION","BRA"
108064,"LIMITE NOA","BRA"
108065,"50TEN    B   B   TENSION","BRA"
108066,"13TEN    B   A   TENSION","BRA"
108067,"13TEN    B   B   TENSION","BRA"
108068,"13TEN    B   C   TENSION","BRA"
108069,"01TEN  TG1   PPN TENSION","BRA"
108070,"01TEN  TG2   PPN TENSION","BRA"
108071,"SMT PW PCIAL","BRA"
108072,"SMT PQ PCIAL","BRA"
109000,"13PW     L  ABL  POTENCIA ACTIVA","VQI"
109001,"13PQ     L  ABL  POTENCIA REACTIVA","VQI"
109002,"13CTE    L  ABL  CORRIENTE","VQI"
109003,"13PW     L  PVI  POTENCIA ACTIVA","VQI"
109004,"13PQ     L  PVI  POTENCIA REACTIVA","VQI"
109005,"13CTE    L  PVI  CORRIENTE","VQI"
109006,"13PW     L  RHO  POTENCIA ACTIVA","VQI"
109007,"13PQ     L  RHO  POTENCIA REACTIVA","VQI"
109008,"13CTE    L  RHO  CORRIENTE","VQI"
109009,"13PW     L  AGU  POTENCIA ACTIVA","VQI"
109010,"13PQ     L  AGU  POTENCIA REACTIVA","VQI"
109011,"13CTE    L  AGU  CORRIENTE","VQI"
109012,"13PW     L  AND  POTENCIA ACTIVA","VQI"
109013,"13PQ     L  AND  POTENCIA REACTIVA","VQI"
109014,"13CTE    L  AND  CORRIENTE","VQI"
109015,"13PW      TR  01 POTENCIA ACTIVA","VQI"
109016,"13PQ      TR  01 POTENCIA REACTIVA","VQI"
109017,"13CTE     TR  01 CORRIENTE","VQI"
109019,"03PW      TR  01 POTENCIA ACTIVA","VQI"
109020,"03PQ      TR  01 POTENCIA REACTIVA","VQI"
109021,"03CTE     TR  01 CORRIENTE","VQI"
109022,"03TEN     TR  01 TENSION","VQI"
109023,"01PW      TR  01 POTENCIA ACTIVA","VQI"
109024,"01PQ      TR  01 POTENCIA REACTIVA","VQI"
109025,"01CTE     TR  01 CORRIENTE","VQI"
109026,"01TEN     TR  01 TENSION","VQI"
109027,"13PW      TR  02 POTENCIA ACTIVA","VQI"
109028,"13PQ      TR  02 POTENCIA REACTIVA","VQI"
109029,"13CTE     TR  02 CORRIENTE","VQI"
109031,"03PW      TR  02 POTENCIA ACTIVA","VQI"
109032,"03PQ      TR  02 POTENCIA REACTIVA","VQI"
109033,"03CTE     TR  02 CORRIENTE","VQI"
109034,"03TEN     TR  02 TENSION","VQI"
109035,"01PW      TR  02 POTENCIA ACTIVA","VQI"
109036,"01PQ      TR  02 POTENCIA REACTIVA","VQI"
109037,"01CTE     TR  02 CORRIENTE","VQI"
109038,"01TEN     TR  02 TENSION","VQI"
109039,"03CTE CONCEPCION CORRIENTE","VQI"
109040,"03CTE   MONTEROS CORRIENTE","VQI"
109041,"01CTE   RIO SECO CORRIENTE","VQI"
109042,"01CTE  L ROUGUES CORRIENTE","VQI"
109043,"01CTE     SIMOCA CORRIENTE","VQI"
109044,"13TEN      BARRA TENSION DE BARRA","VQI"
109045,"03CTE   PROVIDEN CORRIENTE","VQI"
109046,"01CTE    AMBERES CORRIENTE","VQI"
109047,"03CTE MONTEROS 2 CORRIENTE","VQI"
109048,"01CTE    RESERVA CORRIENTE","VQI"
109049,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","VQI"
109050,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","VQI"
109052,"13QFAL        ET REACTIVO FALTANTE","VQI"
109054,"03PW    PROVIDEN POTENCIA ACTIVA","VQI"
109055,"03PQ    PROVIDEN POTENCIA REACTIVA","VQI"
109056,"03CTE     AC A B CORRIENTE","VQI"
109057,"01CTE     AC A B CORRIENTE","VQI"
109058,"13TEN    B   B   TENSION","VQI"
109059,"03TEN    B   A   TENSION","VQI"
109060,"03TEN    B   B   TENSION","VQI"
109061,"01TEN    B   A   TENSION","VQI"
109062,"01TEN    B   B   TENSION","VQI"
109063,"13TEN    B   A   TENSION","VQI"
110000,"13PW     L  VQU  POTENCIA ACTIVA","PVI"
110001,"13PQ     L  VQU  POTENCIA REACTIVA","PVI"
110002,"13CTE       VQU  CORRIENTE","PVI"
110003,"13TEN    B   A   TENSION","PVI"
111000,"03TEN     TR  01 TENSION","AGU"
111001,"01CTE SANTA ROSA CORRIENTE","AGU"
111002,"01CTE ALPARGATA1 CORRIENTE","AGU"
111004,"01CTE BARRIENTOS CORRIENTE","AGU"
111005,"01CTE ALPARGATA2 CORRIENTE","AGU"
111006,"01CTE    GORRITI CORRIENTE","AGU"
111007,"01CTE RIO MEDINA CORRIENTE","AGU"
111008,"01CTE  AGUILARES CORRIENTE","AGU"
111009,"03CTE    ALBERDI CORRIENTE","AGU"
111010,"03CTE MONTEAGUDO CORRIENTE","AGU"
111011,"13CTE    L  VQU  CORRIENTE","AGU"
111012,"13CTE    L  ESC  CORRIENTE","AGU"
111013,"13PW     L  VQU  POTENCIA ACTIVA","AGU"
111014,"13PQ     L  VQU  POTENCIA REACTIVA","AGU"
111015,"13PW     L  ESC  POTENCIA ACTIVA","AGU"
111016,"13PQ     L  ESC  POTENCIA REACTIVA","AGU"
111017,"13TEN    B   A   TENSION","AGU"
111018,"03TEN     TR  02 TENSION","AGU"
111019,"01TEN     TR  01 TENSION","AGU"
111020,"13PW      TR  01 POTENCIA ACTIVA","AGU"
111021,"13PW      TR  02 POTENCIA ACTIVA","AGU"
111022,"13PQ      TR  01 POTENCIA REACTIVA","AGU"
111023,"13PQ      TR  02 POTENCIA REACTIVA","AGU"
111024,"01PW      TR  01 POTENCIA ACTIVA","AGU"
111025,"01PW      TR  02 POTENCIA ACTIVA","AGU"
111026,"01PQ      TR  01 POTENCIA REACTIVA","AGU"
111027,"01PQ      TR  02 POTENCIA REACTIVA","AGU"
111028,"03CTE     TR  01 CORRIENTE","AGU"
111029,"03CTE     TR  02 CORRIENTE","AGU"
111032,"03PW      TR  01 POTENCIA ACTIVA","AGU"
111033,"03PQ      TR  01 POTENCIA REACTIVA","AGU"
111034,"03PW      TR  02 POTENCIA ACTIVA","AGU"
111035,"03PQ      TR  02 POTENCIA REACTIVA","AGU"
111036,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","AGU"
111037,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","AGU"
111038,"01PW  S. BARBARA POTENCIA ACTIVA","AGU"
111039,"01PQ  S. BARBARA POTENCIA REACTIVA","AGU"
111040,"01TEN S. BARBARA TENSION","AGU"
111041,"01CTE S. BARBARA CORRIENTE","AGU"
111042,"13CTE     TR  01 CORRIENTE","AGU"
111043,"13CTE     TR  02 CORRIENTE","AGU"
111044,"01CTE     TR  01 CORRIENTE","AGU"
111045,"01CTE     TR  02 CORRIENTE","AGU"
111049,"13QFAL           REACTIVO FALTANTE","AGU"
111050,"01PW     INGENIO POTENCIA ACTIVA","AGU"
111051,"01PQ     INGENIO POTENCIA REACTIVA","AGU"
111052,"01CTE    INGENIO CORRIENTE","AGU"
111053,"01TEN    INGENIO TENSION","AGU"
111054,"01TEN     TR  02 TENSION","AGU"
111055,"03TEN    B   A   TENSION","AGU"
111056,"03TEN    B   B   TENSION","AGU"
111057,"01TEN    B   A   TENSION","AGU"
111058,"01TEN    B   B   TENSION","AGU"
112000,"13CTE       LPI  CORRIENTE","ESC"
112001,"13CTE       AGU  CORRIENTE","ESC"
112002,"13PW     L  LPI  POTENCIA ACTIVA","ESC"
112003,"13PW     L  AGU  POTENCIA ACTIVA","ESC"
112004,"01PW      G   01 POTENCIA ACTIVA","ESC"
112005,"01PQ      G   01 POTENCIA REACTIVA","ESC"
112006,"01PW      G   03 POTENCIA ACTIVA","ESC"
112007,"01PQ      G   03 POTENCIA REACTIVA","ESC"
112008,"13PQ     L  LPI  POTENCIA REACTIVA","ESC"
112009,"13PQ     L  AGU  POTENCIA REACTIVA","ESC"
112010,"13TEN    B   A   TENSION","ESC"
112011,"01GEN PW      ET GENERACION DE POTENCIA ACTIVA","ESC"
112012,"01GEN PQ      ET GENERACION DE POTENCIA REACTIVA","ESC"
113000,"13TEN    B   A   TENSION","RHO"
113001,"13TEN    B   B   TENSION","RHO"
113002,"13PW     L  TNO  POTENCIA ACTIVA","RHO"
113003,"13PQ     L  TNO  POTENCIA REACTIVA","RHO"
113004,"13CTE    L  TNO  CORRIENTE","RHO"
113005,"13PW     L  LBA  POTENCIA ACTIVA","RHO"
113006,"13PQ     L  LBA  POTENCIA REACTIVA","RHO"
113007,"13CTE    L  LBA  CORRIENTE","RHO"
113008,"13PW     L  VQU  POTENCIA ACTIVA","RHO"
113009,"13PQ     L  VQU  POTENCIA REACTIVA","RHO"
113010,"13CTE    L  VQU  CORRIENTE","RHO"
113011,"13PW     L  SGO  POTENCIA ACTIVA","RHO"
113012,"13PQ     L  SGO  POTENCIA REACTIVA","RHO"
113013,"13CTE    L  SGO  CORRIENTE","RHO"
113014,"13PW      TR  01 POTENCIA ACTIVA","RHO"
113015,"13PQ      TR  01 POTENCIA REACTIVA","RHO"
113016,"13CTE     TR  01 CORRIENTE","RHO"
113017,"01PW      TR  01 POTENCIA ACTIVA","RHO"
113018,"01PQ      TR  01 POTENCIA REACTIVA","RHO"
113019,"01CTE     TR  01 CORRIENTE","RHO"
113020,"01TEN     TR  01 TENSION","RHO"
113022,"13PW      TR  02 POTENCIA ACTIVA","RHO"
113023,"13PQ      TR  02 POTENCIA REACTIVA","RHO"
113024,"13CTE     TR  02 CORRIENTE","RHO"
113025,"01PW      TR  02 POTENCIA ACTIVA","RHO"
113026,"01PQ      TR  02 POTENCIA REACTIVA","RHO"
113027,"01CTE     TR  02 CORRIENTE","RHO"
113028,"01TEN     TR  02 TENSION","RHO"
113030,"01CTE    LINEA 1 CORRIENTE","RHO"
113031,"01CTE    LINEA 2 CORRIENTE","RHO"
113032,"01CTE    LINEA 3 CORRIENTE","RHO"
113033,"01CTE    LINEA 4 CORRIENTE","RHO"
113034,"01PW      GP  01 POTENCIA ACTIVA","RHO"
113035,"01PQ      GP  01 POTENCIA ACTIVA","RHO"
113036,"01PW      GP  02 POTENCIA ACTIVA","RHO"
113037,"01PQ      GP  02 POTENCIA ACTIVA","RHO"
113038,"01GEN PW      ET POTENCIA ACTIVA TOTAL","RHO"
113039,"01GEN PQ      ET POTENCIA REACTIVA TOTAL","RHO"
113040,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","RHO"
113041,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","RHO"
113043,"QFAL          ET REACTIVO FALTANTE","RHO"
113044,"01TEN     B   A  TENSION","RHO"
113045,"01TEN     B   B  TENSION","RHO"
113046,"01CTE TOTAL TERMAS DE RIO HONDO","RHO"
114000,"03PW      TR  01 POTENCIA ACTIVA","LBA"
114001,"03PQ      TR  01 POTENCIA REACTIVA","LBA"
114002,"03PW      TR  02 POTENCIA ACTIVA","LBA"
114003,"03PQ      TR  02 POTENCIA REACTIVA","LBA"
114004,"01PW      TG  21 POTENCIA ACTIVA","LBA"
114005,"01CTE LIBERTADOR CORRIENTE","LBA"
114006,"01PW  LIBERTADOR POTENCIA ACTIVA","LBA"
114007,"01PQ  LIBERTADOR POTENCIA REACTIVA","LBA"
114008,"13CTE    L  RHO  CORRIENTE","LBA"
114009,"01CTE    INTER 2 CORRIENTE","LBA"
114010,"01CTE    DIST 21 CORRIENTE","LBA"
114011,"01CTE     ALIM 7 CORRIENTE","LBA"
114012,"01CTE    DIST 23 CORRIENTE","LBA"
114013,"01CTE    DIST 25 CORRIENTE","LBA"
114014,"01CTE    INTER 3 CORRIENTE","LBA"
114015,"01CTE     ALIM 5 CORRIENTE","LBA"
114016,"03CTE   DIST 102 CORRIENTE","LBA"
114017,"03CTE   DIST 101 CORRIENTE","LBA"
114018,"03CTE   DIST 103 CORRIENTE","LBA"
114019,"03CTE   DIST 104 CORRIENTE","LBA"
114020,"13PW     L  SGE  POTENCIA ACTIVA","LBA"
114021,"13PQ     L  SGE  POTENCIA REACTIVA","LBA"
114022,"13PQ     L  RHO  POTENCIA REACTIVA","LBA"
114023,"13TEN    B   A   TENSION","LBA"
114024,"03TEN    B   B   TENSION","LBA"
114025,"03TEN    B   A   TENSION","LBA"
114026,"01TEN     TR  02 TENSION","LBA"
114027,"01TEN     TR  01 TENSION","LBA"
114028,"01CTE    AC  A B CORRIENTE","LBA"
114029,"03CTE    AC  A B CORRIENTE","LBA"
114030,"13PW     L  RHO  POTENCIA ACTIVA","LBA"
114031,"01PQ      TG  21 POTENCIA REACTIVA","LBA"
114032,"13CTE    L  SGE  CORRIENTE","LBA"
114033,"01CTE    ALIM 08 CORRIENTE","LBA"
114034,"01CTE   INTER 01 CORRIENTE","LBA"
114035,"13PW      TR  01 POTENCIA ACTIVA","LBA"
114036,"13PQ      TR  01 POTENCIA REACTIVA","LBA"
114037,"13PW      TR  02 POTENCIA ACTIVA","LBA"
114038,"13PQ      TR  02 POTENCIA REACTIVA","LBA"
114041,"01PW      TR  01 POTENCIA ACTIVA","LBA"
114042,"01PQ      TR  01 POTENCIA REACTIVA","LBA"
114043,"01PW      TR  02 POTENCIA ACTIVA","LBA"
114044,"01PQ      TR  02 POTENCIA REACTIVA","LBA"
114045,"03CTE     TR  01 CORRIENTE","LBA"
114046,"03CTE     TR  02 CORRIENTE","LBA"
114047,"01CTE SA  TG  21 CORRIENTE","LBA"
114048,"01PQ       C  01 POTENCIA REACTIVA","LBA"
114049,"01CTE     CP  01 CORRIENTE","LBA"
114050,"01PQ       C  02 POTENCIA REACTIVA","LBA"
114051,"01CTE     CP  02 CORRIENTE","LBA"
114052,"77DEM PW      ET DEMANDA DE POTENCIA ACTIVA","LBA"
114053,"77DEM PQ      ET DEMANDA DE POTENCIA REACTIVA","LBA"
114054,"01PW      TG  22 POTENCIA ACTIVA","LBA"
114055,"01PQ      TG  22 POTENCIA REACTIVA","LBA"
114056,"13PW     L  LBE  POTENCIA ACTIVA","LBA"
114057,"13PQ     L  LBE  POTENCIA REACTIVA","LBA"
114058,"13CTE    L  LBE  CORRIENTE","LBA"
114059,"13TEN    L  LBE  TENSION","LBA"
114065,"13QFAL        ET REACTIVO FALTANTE","LBA"
114070,"13CTE     TR  01 CORRIENTE","LBA"
114071,"13CTE     TR  02 CORRIENTE","LBA"
114072,"01CTE     TR  01 CORRIENTE","LBA"
114073,"01CTE     TR  02 CORRIENTE","LBA"
114074,"01TEN     B   A  TENSION","LBA"
114075,"01TEN     B   B  TENSION","LBA"
115000,"03PW      TR  01 POTENCIA ACTIVA","SCE"
115001,"03PQ      TR  01 POTENCIA REACTIVA","SCE"
115002,"03PW      TR  02 POTENCIA ACTIVA","SCE"
115003,"03PQ      TR  02 POTENCIA REACTIVA","SCE"
115004,"13TEN    L  SGS  TENSION","SCE"
115005,"03TEN     TR  01 TENSION","SCE"
115006,"03TEN     TR  02 TENSION","SCE"
115007,"01TEN     TR  03 TENSION","SCE"
115009,"01CTE     TR  03 CORRIENTE","SCE"
115010,"01PW      TR  03 POTENCIA ACTIVA","SCE"
115011,"01PQ      TR  03 POTENCIA REACTIVA","SCE"
115012,"13PW     L  SGE  POTENCIA ACTIVA","SCE"
