"POINTNUMBER","POINTNAME","STATIONNAMEABBREVIATED"
60263,"5CBMQ1   I","MQU"
60264,"5CBMQ1   P","MQU"
60265,"5CBMQ1   Q","MQU"
60266,"5NODO5  V","MQU"
60267,"5NODO6  V","MQU"
60268,"5T1MQ    I","MQU"
60269,"5T1MQ    P","MQU"
60270,"5T1MQ    Q","MQU"
60271,"5T1MQ    RBC","MQU"
60272,"1A A B  IB","MQU"
60273,"1T1MQ    I","MQU"
60274,"1T1MQ    V","MQU"
60275,"1T1MQ    P","MQU"
60276,"1T1MQ    Q","MQU"
60277,"1CGA-MQ1 I","MQU"
60278,"1CGA-MQ1 V","MQU"
60279,"1CGA-MQ1 P","MQU"
60280,"1CGA-MQ1 Q","MQU"
60281,"01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR","ANA"
60282,"01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR","ANA"
60283,"ENA-CAT 01PW TG","CAT1"
60284,"ENA-CAT 01PQ TG","CAT1"
60285,"ENA-CHI 01PW TG","CHI"
60286,"ENA-CHI 01PQ TG","CHI"
60287,"ENA-LRS 01PW TG","LRI1"
60288,"ENA-LRS 01PQ TG","LRI1"
60289,"ENA-ORA 01PW TG","ORA"
60290,"ENA-ORA 01PQ TG","ORA"
60291,"ENA-TAR 01PW TG","TAR"
60292,"ENA-TAR 01PQ TG","TAR"
60293,"01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR","TIN"
60294,"01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR","TIN"
60295,"01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR","ANA"
60296,"01PQ    TD   02 POTENCIA REACTIVA MAQUINA SULLAIR","ANA"
60297,"01PW    TD   03 POTENCIA ACTIVA MAQUINA SULLAIR","ANA"
60298,"01PQ    TD   03 POTENCIA REACTIVA MAQUINA SULLAIR","ANA"
60299,"01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR","TIN"
60300,"01PQ    TD   02 POTENCIA REACTIVA MAQUINA SULLAIR","TIN"
60301,"ENA-CAT INTA 01PW TG","CAT1"
60302,"ENA-CAT INTA 01PQ TG","CAT1"
60303,"ENA-LRI 01PW TG","LRI1"
60304,"ENA-LRI 01PQ TG","LRI1"
60305,"01PW    TD   01 POTENCIA ACTIVA MAQUINA SULLAIR","LIB"
60306,"01PQ    TD   01 POTENCIA REACTIVA MAQUINA SULLAIR","LIB"
60307,"01PW    TD   02 POTENCIA ACTIVA MAQUINA SULLAIR","LIB"
60308,"01PQ    TD   02 POTENCIA REACTIVA MAQUINA SULLAIR","LIB"
60309,"ENA-CAT PIND 01PW TG","CAT1"
60310,"ENA-CAT PIND 01PQ TG","CAT1"
60311,"ENA-CAT TERE 01PW TG","CAT1"
60312,"ENA-CAT TERE 01PQ TG","CAT1"
60313,"03PW PROVIDENCIA","VQI"
60314,"03PQ PROVIDENCIA","VQI"
60315,"50CTE    L  REC  CORRIENTE","LAV"
60316,"50TEN    NODO 1  TENSION","LAV"
60317,"50PW     L  REC  POTENCIA ACTIVA","LAV"
60318,"50PQ     L  REC  POTENCIA REACTIVA","LAV"
60319,"50CTE    L  CAT  CORRIENTE","LAV"
60320,"50TEN    NODO 2  TENSION","LAV"
60321,"50PW     L  CAT  POTENCIA ACTIVA","LAV"
60322,"50PQ     L  CAT  POTENCIA REACTIVA","LAV"
60323,"50CTE    L  BRA  CORRIENTE","LAV"
60324,"50TEN    NODO 3  TENSION","LAV"
60325,"50PW     L  BRA  POTENCIA ACTIVA","LAV"
60326,"50PQ     L  BRA  POTENCIA REACTIVA","LAV"
60327,"50CTE    L  SAN  CORRIENTE","LAV"
60328,"50TEN    NODO 4  TENSION","LAV"
60329,"50PW     L  SAN  POTENCIA ACTIVA","LAV"
60330,"50PQ     L  SAN  POTENCIA REACTIVA","LAV"
60331,"50CTE    L  LAV  CORRIENTE","LAV"
60332,"50PW     L  LAV  POTENCIA ACTIVA","LAV"
60333,"50PQ     L  LAV  POTENCIA REACTIVA","LAV"
60334,"50CTE     TR  01 CORRIENTE","SAN"
60335,"50PW      TR  01 POTENCIA ACTIVA","SAN"
60336,"50PQ      TR  01 POTENCIA REACTIVA","SAN"
60337,"13CTE     TR  01 CORRIENTE","SAN"
60338,"13TEN     TR  01 TENSION","SAN"
60339,"13PW      TR  01 POTENCIA ACTIVA","SAN"
60340,"13PQ      TR  01 POTENCIA REACTIVA","SAN"
60341,"13CTE    L  SGS  CORRIENTE","SAN"
60342,"13PW     L  SGS  POTENCIA ACTIVA","SAN"
60343,"13PQ     L  SGS  POTENCIA REACTIVA","SAN"
60344,"13CTE    L  SGO  CORRIENTE","SAN"
60345,"13PW     L  SGO  POTENCIA ACTIVA","SAN"
60346,"13PQ     L  SGO  POTENCIA REACTIVA","SAN"
60347,"13CTE    L  LOR  CORRIENTE","SAN"
60348,"13PW     L  LOR  POTENCIA ACTIVA","SAN"
60349,"13PQ     L  LOR  POTENCIA REACTIVA","SAN"
60350,"13CTE    L  SMR  CORRIENTE","SAN"
60351,"13PW     L  SMR  POTENCIA ACTIVA","SAN"
60352,"13PQ     L  SMR  POTENCIA REACTIVA","SAN"
60353,"50TEN    L  LAV  TENSION","SAN"
60354,"50TEN     TR  01 TENSION","SAN"
60356,"ENA-BAN 01PW TG01","BAN"
60357,"ENA-BAN 01PQ TG01","BAN"
60358,"ENA-BAN 01PW TG02","BAN"
60359,"ENA-BAN 01PQ TG02","BAN"
60360,"SMT 01RBC TG1","GEN"
60361,"SMT 01TEN TG1","GEN"
60362,"13TEN     B   A  TENSION","SAN"
60363,"13TEN     B   B  TENSION","SAN"
60364,"50CTE TR 02","COB"
60365,"50PW  TR 02","COB"
60366,"50PQ  TR 02","COB"
60367,"50RBC TR 02","COB"
60368,"34CTE TR 02","COB"
60369,"34TEN TR 02","COB"
60370,"34PW  TR 02","COB"
60371,"34PQ  TR 02","COB"
60372,"50TEN     B   A  TENSION","SAN"
60373,"50TEN     B   B  TENSION","SAN"
60374,"50TEN     B   A  TENSION","LAV"
60375,"50TEN     B   B  TENSION","LAV"
60376,"34PW   L  ATA","COB"
60377,"34PQ   L  ATA","COB"
60378,"34CTE  L  ATA","COB"
60379,"34TEN  L  ATA","COB"
101000,"13CTE     TR  01 CORRIENTE","LUL"
101002,"03PW      TR  01 POTENCIA ACTIVA","LUL"
101003,"03PQ      TR  01 POTENCIA REACTIVA","LUL"
101004,"03CTE     TR  01 CORRIENTE","LUL"
101005,"03TEN     TR  01 TENSION","LUL"
101006,"03CTE   MERCEDES 2 CORRIENTE","LUL"
